지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C),평균 해면기압(hPa),합계 강수량(mm),일 최다 강수량(mm),일 최다 강수량 나타난날(yyyymmdd),평균 상대습도(%),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균 풍속(m/s),최다 풍향(16방위),합계 소형 증발량(mm),합계 대형 증발량(mm)
146,전주,1938,12.1,-15,19380127,35.7,19380815,7.5,17.9,1016.3,819,66.7,19381029,76.9,2413.1,,,1.4,270,1248.9,
146,전주,1939,12.7,-15.8,19390106,38.2,19390721,7.6,19,1016.9,673.4,51.2,19390810,73.8,2667.3,,,1.4,270,1354.2,
146,전주,1940,12,-15.2,19400124,34.5,19400731,7,18,,1045.1,82,19400717,,,,,,,,
146,전주,1941,12.2,-13.1,19410125,34.3,19410807,7.4,18,1016.4,1442.2,194.5,19410706,75.6,2394.5,,,1.4,270,1171,
146,전주,1942,12.2,-13.8,19420213,38,19420723,7.4,17.9,1016.8,1503.2,336.1,19420809,73.8,2544.6,,,1.4,270,1295.7,
146,전주,1943,12.3,-15.9,19430112,36.6,19430820,7.5,18.2,1017.1,879.5,70.6,19430713,73.9,2535.7,,,1.4,270,1234.7,
146,전주,1944,12.1,-13.7,19441220,35.6,19440801,7.3,18,1017,1136.7,104.6,19440823,73.1,2558.9,,,1.3,270,1224.5,
146,전주,1945,11.6,-16.1,19450128,34.2,19450818,6.9,17.4,1016.7,1314.9,144.2,19450913,73.7,2414,,,1.3,270,1136.9,
146,전주,1946,12.7,-12.9,19460101,36.8,19460724,8.1,18.3,1016.5,1365,205.8,19460625,73.8,2364,,,1.4,270,1099,
146,전주,1947,11.3,-15.6,19470203,34.1,19470830,6.8,16.9,1017.5,1220.4,81.9,19470731,74.3,2299.7,,,1.6,270,1051,
146,전주,1948,13.1,-12.2,19480127,33.9,19480810,8.4,18.7,1017.1,2074.4,222.8,19480728,77.3,2419.6,,,1.5,270,1169,
146,전주,1949,12.6,-10.2,19490119,36.2,19490815,8.2,18.1,1016.5,912,65.5,19490728,74.3,2283,,,1.5,270,1179,
146,전주,1950,13.1,-13.7,19500107,36.4,19500725,8.3,18.7,1016,1097.2,93.8,19500701,73.5,2312.9,,,1.4,270,1275.8,
146,전주,1951,12.6,-13.5,19510117,36.6,19510819,8.3,18.1,1016,935.2,143.1,19510526,74.7,2463.8,,,1.6,270,1262,
146,전주,1952,12.4,-11.5,19520205,35.6,19520723,8.1,17.7,1017.2,1145.9,72,19520901,74.7,2258.1,,,1.5,270,1291,
146,전주,1953,12.6,-12,19530216,35.3,19530819,8.2,17.8,1017.5,1397,118.5,19530703,73.5,2232.8,,,1.6,270,1205.1,
146,전주,1954,12.7,-9.1,19540126,34.8,19540813,8.3,18.1,1016.4,1325.7,94.5,19540704,74.9,2179.9,,,1.4,160,1116.8,
146,전주,1955,12.8,-15.7,19550116,34.1,19550613,8.2,18.5,1016.3,1144.2,128,19550802,77.3,2359.5,,,1.4,320,1203,
146,전주,1956,11.7,-13.1,19560108,35.8,19560731,7.1,17.1,1016.2,1444.9,63.5,19560720,76.2,2207.1,,,1.4,270,1147.8,
146,전주,1957,11.8,-12.7,19570211,34.6,19570818,7.2,17.5,1015.9,1299.1,64.6,19570714,76.9,2222.5,,,1.2,270,1120.1,
146,전주,1958,12.7,-15.3,19580117,35,19580625,8.1,18.3,1016.9,1743.6,202.2,19580904,76.5,2340.1,,,1.3,320,1242.6,
146,전주,1959,13.3,-15.4,19590117,37.2,19590803,8.8,18.7,1016.3,1350,146.9,19590826,78.6,2249.6,,,1.2,270,1252.3,
146,전주,1960,13.3,-13.6,19600124,35.3,19600807,8.7,18.9,1016.6,1152.8,102.1,19600626,76.5,2282.5,,,1,320,1221.4,
146,전주,1961,13.7,-16.6,19610201,35.6,19610724,9.2,18.9,1016.6,1773.5,170.8,19610808,77.6,2110.2,47.61,,1,320,1113.5,
146,전주,1962,12.8,-9.2,19620201,35.1,19620531,8.2,18.3,1016.2,1141.5,89.6,19620712,75.5,2112.4,47.66,,1.2,270,1197,
146,전주,1963,12.4,-15.2,19630124,33.5,19630808,8.2,17.5,1015.9,1531.7,137.3,19630619,79.1,1916.1,43.23,,1.6,270,1102.1,
146,전주,1964,13.7,-9.9,19640213,36.3,19640819,9.4,18.6,1017.1,1594.1,116.9,19640901,77.6,2168.6,48.8,,1.2,270,1201.6,
146,전주,1965,12.7,-12.4,19650203,34.4,19650802,8.1,18.1,1016.2,1093.1,89.8,19650722,71,2312.8,58.63,,1.3,270,1190.3,
146,전주,1966,13.1,-13.5,19660120,35.8,19660808,8.8,18.4,1015.5,1289.2,101.9,19660723,73.5,2210.5,59.08,,1.3,270,1182.4,
146,전주,1967,12.9,-13.5,19670116,35.2,19670813,8.7,18.3,1016.5,952.2,103.2,19670625,68.3,2141.3,48.55,,1,320,1149.5,
146,전주,1968,12.9,-10.8,19680115,34.4,19680713,8.6,18.3,1015.9,916.9,60.3,19680715,70.8,2015.1,45.35,,1,320,1072.5,
146,전주,1969,12.4,-13.2,19690206,34.4,19690821,8.1,17.5,1016.3,1739.9,97,19690716,74.8,2025.1,45.69,,1.3,320,978.5,
146,전주,1970,12.6,-14.6,19700105,35,19700722,7.6,18,1016.7,1285.1,61,19700909,76.8,1917.2,43.26,,1.2,320,938.9,
146,전주,1971,12.7,-15.3,19710106,35.4,19710731,7.6,18.3,1016.2,1300.9,96.1,19710924,75.4,2101.4,47.41,,.9,320,974.8,
146,전주,1972,13,-10,19720103,35.9,19720720,8.5,18.2,1015.2,1360.6,68.5,19720710,77.6,1870.2,42.09,,1.1,320,942.9,
146,전주,1973,13.1,-14.2,19731224,37.2,19730717,8.5,18.6,1016.4,983.7,73.4,19730802,73.7,2263.3,51.06,,1.2,270,1096.7,621.2
146,전주,1974,12.2,-13.3,19740124,35.6,19740819,7.6,17.6,1016.4,1310.5,87.8,19741001,72.4,2082.6,46.99,,1.3,140,987.3,617.3
146,전주,1975,13.2,-11.2,19751224,35.2,19750819,9.1,18.7,1016,1418,95.7,19750920,75.5,2153.8,48.6,,1.2,140,961.3,595.7
146,전주,1976,12.5,-13.8,19761227,35,19760821,7.9,18.1,1016.6,1057.3,178.3,19760806,73.7,2048.2,46.09,,1.2,140,981,537
146,전주,1977,13.1,-14,19770216,36.2,19770729,8.5,19.2,1017.2,823.8,54.9,19770808,72.9,2050.4,46.26,,1.1,140,1034.7,613.7
146,전주,1978,13.4,-12.2,19780203,36.4,19780708,8.7,19.3,1016.7,1243,112.1,19780819,74.2,2305.9,52.02,,1.1,140,1090.5,616.3
146,전주,1979,13.2,-9.8,19790202,34.1,19790731,8.6,18.5,1016.4,1421.9,232.1,19790805,70.7,2206.8,49.79,,1,320,1014.5,591.1
146,전주,1980,11.9,-13.2,19800207,31.9,19800624,7.5,17,1016.8,1426.1,110,19800729,73.2,2040.1,45.91,,1.2,320,907.5,448.7
146,전주,1981,12,-13.3,19810127,35.7,19810725,7.4,17.6,1016.8,1341.9,114.1,19810829,71.1,2042.6,46.08,2877.76,1.2,320,980.9,547.9
